schema	pid-rs-formal-rendering-receipt-v2
pdf_sha256	fcc76285b586aac0017c02e63b5c3abe127980d523f92ecdad261ef761b4c80c
pages	64
dpi	120
mode	page	width	height	bytes	sha256	min_luma	max_luma	dark_pixels	chromatic_pixels
gray	18	993	1404	317893	19b1d486beb06e017c0752aa8b3dcb9af41b3a9411d77b6cef62a898ca2cf3ae	59	255	117407	0
gray	19	993	1404	286046	4041a175014db298e1b3fa93dc5d9d0d5ff0d58c73e9edcebf0d3327c2167df9	57	255	106178	0
gray	20	993	1404	368197	487ed78270421975f12ca43483169687245f0457b3657b494915fe18acaace29	59	255	156751	0
gray	21	993	1404	316506	70bcd22d459597b8e01b20761af1791ca2115310e50430ebb27b8890f622cf1c	59	255	128733	0
gray	22	993	1404	375810	7adc57927698315a04809d8b1f2b75463e16f86ea00907c88fd9dd4557842a6a	57	255	141403	0
gray	23	993	1404	303419	84e50ffe6652bec1160ce564f8a7dee39fa5005b9084b3fa88a231edda9d1642	59	255	112451	0
gray	24	993	1404	368133	26c1e9889ff626a6060d8a977cb99b35a670595958dc0e3607e512791bad5f11	59	255	150416	0
gray	25	993	1404	324488	7526ff1888f75765814869c4728a8318eb31d33ba7582fdbcc312d05f180a4f2	59	255	117758	0
gray	26	993	1404	277320	2c7d86e81d2d402e95fea694cad2efe0eae817d8129684d0fdeed202a2fb8373	59	255	106582	0
gray	27	993	1404	301279	b4c354772d79fad8917c33542233ac9996862b970467e7b09e03717a5abc119e	59	255	123449	0
gray	28	993	1404	223882	9fb414ef1dabbee7be25b491fd0ae927c0c208ff7ddaeca18c688144dcbf5c1f	59	255	124490	0
gray	29	993	1404	258141	cb09bcb8832cfd0a14edc6423c3f72ddc182a13c6283bcdffd22f33391ad7fbf	59	255	116101	0
gray	30	993	1404	250359	35947e80109dcca67cbe5a2b26ef05f7f4d0fbfe21d910d342b1efa5281946a9	59	255	98977	0
gray	31	993	1404	250292	68b8fa103b41f42b0a1a8960d130f86b68cc15f911b5552acfc87c0929ac05fc	59	255	96663	0
gray	32	993	1404	273301	0ac51403ec328ef113e51e7d55c750ef76d1ac40a2ea0b0fc9cdc4ad706a7388	59	255	109683	0
gray	33	993	1404	306859	d48f923b1a7b5a40db8971a9626298a5f73294d7392d1785853b50b6c91ee0f9	59	255	119219	0
gray	34	993	1404	301171	86fc4396e5a7c04323aeccad48d52b38d76d08a8f52d3fe37a024fdd4dc79ba9	57	255	130618	0
gray	35	993	1404	292299	b07d9cde12d640062299639db15ce6e286d5ae1c12dac2f19213a920e40f0770	57	255	125856	0
gray	36	993	1404	322327	16da8bb649b81cfab5fac5899951cf40a1f9c470ed1ddedb75b04adbe486c149	57	255	123671	0
gray	37	993	1404	245077	4f12e74cd8da28a60b077dfedb28427ef8d16a80f86221aa9332281cbe7eb136	57	255	91335	0
gray	38	993	1404	327012	9e7a9a709eb35c670363ce09fd1f71bfd7fc7e632b29b5ddde8c7e8fd5098248	57	255	137153	0
gray	39	993	1404	237892	f3e2e766975f539e56386d7471c1659629fbdd5e2c3d1151a5369747304308ea	59	255	88831	0
gray	40	993	1404	343793	a62f56974582aa1a4088f54f68708f866b46e9d3ac7047fd93f35fd95d28c769	57	255	123074	0
gray	41	993	1404	300487	108d797a08bba5069b5e793b3476ae5455124658f764d055ce1b18ed38e6ff0c	57	255	112086	0
gray	42	993	1404	320783	d7e485d4187a3aab10b62434be7beb21622e494d2d8d2ca9c308a9fde9d60ff5	59	255	119522	0
gray	43	993	1404	186740	77d32c753488e99c5f18c151c4a5c0a180e5468166ef57e8cbf06f189bbcdb66	57	255	84354	0
gray	44	993	1404	255275	ed7f06d213ed4ac6b769160cd0d00e5757f8da04943def6a1318122f99831419	57	255	124706	0
gray	45	993	1404	317203	3da8688c34611faf9c28037654cd6511adc521322d5da9ac1ee7116299cca1af	59	255	133210	0
gray	46	993	1404	185636	f926e8325d0b05d82f77c0872b45134bb4feb82baad37b170ee2351629c7631a	57	255	85173	0
gray	47	993	1404	247082	5753293332dd8041736716671d75dabd56e69dfa6cd5319bf0379852caf08d19	57	255	110128	0
gray	48	993	1404	286637	de92771ce32926164e190c71e6784869ee2fdc7b79eb2349d051d86f965a3738	57	255	123548	0
gray	49	993	1404	294630	4b0ba75a815cd4390a22cdad8d4c5ae9502dbbee6a3c5e4466e70b1dbc64f04f	59	255	136663	0
gray	50	993	1404	413244	a0072b0af015735fab935f3ff97b7e572f627e9d3d7c176ad2afe03af55eac12	59	255	156987	0
gray	51	993	1404	374551	fe1260da4e9bffd6938b27146c945f2d70b19385e45245485fec688d67a5f8db	59	255	138552	0
gray	52	993	1404	345933	879d59cffc143172f7701aa2601c95d816ee55b474fe20274fcfffbcb3fd1070	59	255	128089	0
gray	53	993	1404	315357	ca376cbaa0aefca38abea3b2be405272ca70e39725bc42020abf428a3c281b82	57	255	123077	0
gray	54	993	1404	255717	6cbcb8f9f89245d4d6723f3251190b132fe230eb64d35705f7c39738e4741272	59	255	111852	0
gray	55	993	1404	264871	5b5a7cc14293e4adbc3b2e6580ccf607428453f1e3a791b29f79686b329b2b35	57	255	128804	0
gray	56	993	1404	271293	03374a0e35ac53ab7940430a2c8995879692c6bc8428383566bfcd6f2f1a73af	57	255	118897	0
gray	57	993	1404	382531	faf20a8549885b0d6d83fbe362216e5e6c5317ac1d4b6bfe6e21ebc7dad009c7	57	255	141114	0
gray	58	993	1404	365027	ac5f1742f1a7047efe49312f4749aff7b83c50ebcbe63f0cd33ae2efadfe455d	57	255	137662	0
gray	59	993	1404	240976	fd1008764c5f82024b67a72fea2626b86c57ea564044bdf9e0196f7c1372604a	57	255	88452	0
gray	60	993	1404	343060	e83dea50ff0937874c76f4d2796cf40d2a496baa7296aa60f387ff3a4d5f4319	59	255	132832	0
gray	61	993	1404	318843	61b3ea3911f7d60718c70687dbffa26260617f5f514d4d87ac84ffac93bb9c70	57	255	135640	0
gray	62	993	1404	205864	b47b0ea10c41104d8f3465b9ffcec4812df5564222367c4917b0e5df92b50610	59	255	75367	0
gray	63	993	1404	227636	4914320b8f04d60a51ad24086279b6653e8094bf2ac930ab561578eba04ab191	59	255	110210	0
gray	64	993	1404	185615	21f4d6fa14c83eaed93a0bf9fa6a8d5494ea8a411da9610ce3c60b445a3413e6	59	255	70116	0
